Any;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Antiguitat;Nombre_motos
2007;4;Les Corts;20;la Maternitat i Sant Ramon;5 anys;131
2007;4;Les Corts;21;Pedralbes;5 anys;119
2007;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;5 anys;30
2007;5;Sarrià-Sant Gervasi;23;Sarrià;5 anys;213
2007;5;Sarrià-Sant Gervasi;24;les Tres Torres;5 anys;177
2007;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;5 anys;217
2007;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;5 anys;417
2007;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;5 anys;209
2007;6;Gràcia;28;Vallcarca i els Penitents;5 anys;79
2007;6;Gràcia;29;el Coll;5 anys;34
2007;6;Gràcia;30;la Salut;5 anys;85
2007;6;Gràcia;31;la Vila de Gràcia;5 anys;208
